Furnace_temperature;Exist_temperature;Annealing_temperature;Thickness;Width;Sulfur_content;Copper_content;Nickel_content;Chromium_content;Molybdenum_content;Vanadium_content;Niobium_content;Total_Al_content;Acid_soluble_Al_content;Titanium_content;Boron_content;Tin_content;Arsenic_content;Zirconium_content;Calcium_content;Lead_content;Ceq;Pcm;Antimony_content;Nitrogen_content;Oxygen_content;Tungsten_content;yield-strength;tensile-strength;elongation
1201;839;591;2.5;945;0.0079;0.0141;0.0084;0.0123;0.0001;0.0001;0.0001;0.0274;0.0203;0.0001;0.0;0.001;0.0027;0.0008;0.0006;0.0007;0.1;0.08;0.0001;0.003;0.0;0.0;302;389;42.5
1228;843;551;4.0;1455;0.0018;0.2522;0.0936;0.4944;0.0029;0.0022;0.0003;0.0213;0.0171;0.0047;0.0003;0.0015;0.0025;0.001;0.0009;0.002;0.2827;0.1628;0.0001;0.0;0.0;0.0;413;528;35.0
1182;865;606;8.0;1270;0.0035;0.0131;0.0062;0.1438;0.0001;0.0001;0.0001;0.0232;0.0216;0.0015;0.0002;0.0017;0.0025;0.0026;0.0023;0.0001;0.4887;0.3905;0.0004;0.004;0.002;0.0;473;713;25.0
1217;917;676;3.5;915;0.0072;0.0108;0.0039;0.009;0.0019;0.0011;0.0001;0.0218;0.0171;0.0464;0.0001;0.0016;0.0023;0.0007;0.0007;0.0009;0.0241;0.0104;0.0003;0.003;0.0;0.0;179;289;53.5
1180;820;532;10.0;1030;0.0024;0.012;0.0062;0.0166;0.0014;0.0003;0.0002;0.0311;0.0296;0.0309;0.0;0.0022;0.0028;0.0021;0.001;0.0015;0.2999;0.1937;0.0006;0.002;0.0;0.0;444;538;25.5
1220;903;647;3.5;1236;0.009;0.0132;0.0078;0.0114;0.0027;0.0002;0.0001;0.0446;0.0402;0.0001;0.0015;0.0011;0.0027;0.0004;0.0004;0.0001;0.071;0.0561;0.0001;0.002;0.004;0.0;206;309;50.5
1121;871;686;2.61;1275;0.0024;0.0076;0.008;0.0115;0.0012;0.0001;0.0009;0.2613;0.2605;0.0003;0.0001;0.0018;0.0021;0.1372;0.0001;0.0001;0.06;0.03;0.0019;0.001;0.001;0.0;250;366;43.0
1216;873;638;2.0;1372;0.0133;0.0111;0.0047;0.0118;0.0019;0.0001;0.0001;0.0321;0.0306;0.0001;0.0015;0.0005;0.0039;0.0002;0.0003;0.0001;0.0668;0.0528;0.0001;0.001;0.002;0.0;225;322;46.0
1187;862;623;2.0;1170;0.0065;0.0095;0.0051;0.0168;0.0023;0.0001;0.0001;0.0313;0.0285;0.0001;0.0014;0.0006;0.0025;0.0003;0.0003;0.0018;0.0604;0.0466;0.0001;0.002;0.003;0.0;172;285;41.0
1173;884;581;2.75;1265;0.0179;0.0103;0.0051;0.0106;0.0013;0.0004;0.0002;0.0322;0.027;0.0004;0.0001;0.0002;0.0025;0.0015;0.0011;0.0001;0.1235;0.084;0.0001;0.002;0.0;0.0;287;384;44.5
1203;864;617;2.0;920;0.0098;0.0135;0.0082;0.0138;0.0026;0.0002;0.0003;0.0326;0.0269;0.0002;0.0014;0.001;0.0033;0.0006;0.0003;0.0001;0.0655;0.051;0.0003;0.001;0.004;0.0;230;314;45.0
1196;857;591;4.0;1495;0.0062;0.0166;0.0073;0.0215;0.0072;0.0001;0.0003;0.0466;0.0448;0.0011;0.0001;0.0013;0.0031;0.0009;0.0003;0.0004;0.2867;0.2018;0.0003;0.003;0.0;0.0;405;513;33.5
1255;867;554;1.89;1082;0.0099;0.2956;0.0746;0.3253;0.0008;0.0018;0.0004;0.0667;0.0654;0.0045;0.0005;0.0013;0.0025;0.0011;0.0011;0.0001;0.25;0.15;0.0001;0.0;0.0;0.0;402;520;38.0
